OBJECTID,NAME,STREET,LOCATION,X,Y
16,OTAKI DEPOT,89 RIVERBANK ROAD,OTAKI,1780585.4715,5485091.3539
17,UPPER HUTT DEPOT,1056 FERGUSSON DRIVE,UPPER HUTT,1775017.031,5445868.161
18,MABEY ROAD DEPOT,END OF MABEY ROAD,LOWER HUTT,1762789.007,5438404.131
19,MASTERTON OFFICE,34 CHAPEL STREET,MASTERTON,1824071.407,5463624.697
20,AKURA CONSERVATION CENTRE,152 AKURA ROAD,MASTERTON,1822523.724,5465566.795
21,HARBOURS,2 QUEENS WHARF,WELLINGTON,1748894.113,5428069.516
22,BATTLE HILL FARM FOREST PARK,610 PAEKAKARIKI HILL ROAD,PAUATAHANUI,1762757.121,5452760.576
23,KAITOKE REGIONAL PARK,WATERWORKS ROAD,KAITOKE,1784719.0061,5451257.1644
24,BEACON HILL,8 PARATU WAY,STRATHMORE PARK,1753035.752,5423023.618
25,SHED 39,2 FRYATT QUAY,WELLINGTON,1749557.4466,5428884.9731
26,QUEEN ELIZABETH PARK,WHAREROA ROAD,PAEKAKARIKI,1766490.707,5462697.0003
27,BELMONT REGIONAL PARK,282 STRATTON STREET,LOWER HUTT,1758683.223,5439633.4563
28,15 WALTER STREET,15 WALTER STREET,WELLINGTON,1748465.214,5426958.0521
29,BIOWORKS,63 NGAUMATAWA ROAD,MASTERTON,1822742.7407,5464376.7551
